"CDR017-DIL"	"CDR025"	"CDR021"	"CDR029-DIL"	"CDR022"	"CDR018"	"CDR026-DIL"	"CDR030-DIL"	"CDR031-DIL"	"CDR023"	"CDR027-DIL"	"CDR019"	"CDR020"	"CDR028-DIL"	"CDR032-DIL"	"CDR024"
"25"	2561.589125	2023.5706875	2744.9605	2534.362625	2465.7701875	2220.185	1952.087	3007.06075	2391.4265625	2356.559375	2146.572	2260.0399375	1936.624125	2069.1820625	2157.493125	1975.1124375
"26"	348.56986875	404.53820625	442.600025	387.87693125	434.90235625	409.95545625	439.31891875	506.4096375	362.6535	350.76154375	380.09071875	404.98795625	399.5033	417.35866875	432.09575	446.0443625
"27"	104.58055	136.16438125	131.779825	118.7287675	134.72174375	130.7393875	130.58998125	114.049319375	119.582551875	111.472223125	81.891868125	148.1979875	130.2047625	125.469025	118.67781875	103.5875075
"28"	1380.83918125	520.0378625	1327.62175	1435.01625	1050.1631	1193.511325	395.36555625	1253.11926875	1041.217825	1470.9124375	499.85775	1318.9138	1094.8918	648.70293125	1145.4395625	1101.8576875
"29"	436.71815625	465.46449375	402.4779125	365.20141875	410.7054	345.62870625	434.90235625	419.5670875	358.129525	402.96745	471.193375	422.2351875	383.91569375	413.5046	401.3315125	313.2156125
"30"	106.46897125	128.7973125	131.971725	121.66101875	131.15355	120.179699375	128.999125	122.0647075	138.4951125	113.76119	131.06141875	145.46994375	131.67350625	129.22571875	129.34058125	115.99831125
"31"	512.55769375	566.11371875	572.4706875	474.27483125	499.85775	476.132925	546.571925	493.1997875	457.33564375	493.1997875	601.18103125	538.51038125	545.6480375	593.02933125	477.51555	446.818525
"32"	1043.116175	1014.80436875	1148.89369375	1224.70711875	1039.8289875	1026.970575	1103.22355	1183.11788125	1110.4611125	1162.14265625	1132.100225	1014.80436875	1096.4961625	1137.42674375	1224.70711875	984.4117125
"33"	138.4951125	144.14264375	116.091845	112.384186875	118.9227525	121.721810625	134.52664375	122.171338125	100.2311275	116.272284375	112.6684575	134.91399375	142.7784625	123.85453125	122.0647075	111.472223125
"34"	520.0378625	515.74834375	517.2161375	368.37513125	741.47193125	535.56368125	558.0739	367.990325	351.86961875	510.5725125	409.2527625	482.191475	428.94070625	449.24485625	410.7054	566.11371875
"35"	134.44104375	126.39529375	117.013026875	129.41006875	124.553775	124.85170625	100.102930625	124.40281875	132.7705	146.24518125	114.10908625	119.4722125	136.44404375	111.493788125	123.02696625	119.38602375
"36"	236.2635875	254.1780375	280.8846375	241.3654625	264.48033125	268.8723875	263.04369375	273.16239375	229.34930625	261.82594375	230.32700625	258.7794	222.10583125	216.55481875	250.93890625	285.5422625
"37"	171.83598125	126.7324375	172.08846875	163.4725125	195.1367375	164.82031875	156.22278125	141.666075	118.7287675	150.75951875	122.650785	179.37498125	170.22126875	162.42654375	149.8372625	117.278580625
"38"	960.4240625	1047.66545625	1057.66533125	1148.89369375	1377.5416375	1159.94286875	1086.93941875	1159.94286875	1039.8289875	1030.12965	976.00468125	1045.7654	1024.03348125	1057.66533125	1101.8576875	1211.4297125
"39"	127.08774375	138.4951125	122.553198125	113.489303125	111.1754525	113.409636875	152.79249375	126.99305	133.91555625	130.82501875	93.932134375	118.24150625	114.10908625	192.99394375	121.99607875	126.91751875
"40"	2554.991125	2080.35275	2391.4265625	2244.248875	1850.3959375	2074.4113125	2090.312875	2266.8151875	2106.9626875	2146.572	2440.3885	2621.539	2123.1938125	2051.421875	2028.120375	1940.737125
"41"	1170.02900625	1260.76866875	1170.02900625	1051.96878125	982.35084375	1024.03348125	1204.07394375	1009.73246875	998.42463125	1137.42674375	1318.9138	1063.1577625	1106.5426375	1399.36441875	1026.970575	1032.47171875
"42"	104.363138125	110.731096875	102.26426625	93.049995625	82.68290875	109.127933125	102.152368125	92.729375625	101.1225975	97.282394375	109.651553125	118.9227525	124.96076875	89.650695	103.384823125	107.969910625
"43"	11560.006375	11889.626375	10805.7864375	11444.448125	11664.8881875	11664.8881875	11097.7715625	11224.39925	11560.006375	11292.8495	12373.8158125	11889.626375	11664.8881875	11560.006375	10996.41625	11664.8881875
"44"	1416.4337625	1443.8390625	1619.6649375	1371.56401875	1404.06320625	1523.8275	1443.8390625	1435.01625	1432.278625	1619.6649375	1460.6138125	1456.996625	1445.8368125	1298.69239375	1357.25375	1368.4378125
"45"	244.31318125	282.33935	209.42774375	221.64945625	193.8187	393.565025	228.72410625	202.8729	234.12394375	214.53501875	285.1416375	419.5670875	308.7176375	257.03389375	214.93336875	306.52756875
"46"	1279.42508125	1342.54178125	1357.25375	1271.5394	1266.29569375	1273.83985625	1257.99315	1157.38374375	1166.25795625	1288.08679375	1266.29569375	1422.7681875	1250.48443125	1314.82505625	1076.51441875	1250.48443125
"47"	1024.03348125	962.51514375	991.41375	995.83595	1082.1166375	1051.96878125	965.6062875	988.6	1030.12965	1106.5426375	951.6832375	982.35084375	1013.2962375	1051.96878125	993.80025	982.35084375
"48"	199.260875	201.14094375	232.6081625	217.65394375	221.2098375	195.5756375	190.78488125	215.708425	164.36124375	214.93336875	175.0114	186.3365125	197.39731875	209.16621875	216.83791875	209.16621875
"49"	515.0439	512.55769375	515.0439	367.990325	493.1997875	525.2982625	633.4114	389.03225	389.03225	512.55769375	403.8897125	548.67416875	413.5046	380.53720625	332.8638875	453.191225
"50"	118.0027425	111.430859375	119.22838125	115.245726875	126.39529375	121.587280625	127.08774375	112.384186875	135.573975	121.52585625	120.376193125	107.83940875	130.01406875	100.80113	120.964215625	121.4096475
"51"	138.024475	129.85695	168.26504375	126.1672875	155.42353125	139.13619375	137.5822	132.09293125	122.650785	140.44328125	127.95795	174.60439375	153.33321875	137.510225	133.53243125	150.1652625
"52"	207.97214375	198.21379375	200.97955	213.4697125	199.260875	191.907125	249.29228125	176.9174125	206.930325	202.3093625	264.8918625	186.579125	208.754275	215.8895125	252.05765625	213.02121875
"53"	681.427275	751.3498875	726.893975	754.6065	714.97033125	760.30370625	672.41614375	764.398425	731.61870625	700.9554375	758.73001875	746.260425	756.57296875	630.4187	758.73001875	723.3930125
"54"	180.59670625	160.08025	131.24035	164.9767625	112.323580625	140.73026875	154.565525	183.87299375	225.5682875	130.4958625	178.55116875	158.5717375	157.69129375	157.5420375	205.4691625	160.99754375
"55"	267.6533375	353.63673125	287.1220875	326.0111625	215.4014	307.01946875	274.2599375	308.371	357.430175	321.8902125	396.5983375	335.7622375	288.18315625	314.26766875	342.12065	289.9689
"56"	83.817353125	132.8439375	104.096135	104.555471875	111.30594875	85.471786875	116.272284375	104.724660625	129.74475	104.724660625	106.961015	116.398903125	106.795250625	108.6279225	106.1343925	121.66101875
"57"	646.0149875	667.7895875	647.3801625	554.03923125	677.4629625	723.3930125	605.05245	630.4187	595.50645	672.41614375	586.7843375	656.13559375	706.28544375	501.23079375	582.35465625	788.424825
"58"	338.406425	278.2127625	254.55285	237.06533125	237.5874875	309.88751875	304.36200625	258.417675	275.267075	323.54536875	212.77309375	285.85709375	296.409675	233.71874375	216.17261875	292.80665
"59"	162.60786875	181.55728125	206.34208125	178.8592	218.68633125	150.3660625	185.85318125	151.95386875	180.0264	177.8334125	169.604025	171.83598125	184.478075	183.2931	161.189075	188.329075
"60"	201.632875	191.27494375	234.12394375	208.754275	210.43860625	203.234175	184.2517375	207.97214375	196.35196875	207.97214375	170.01948125	188.6473	208.9577875	156.7269625	193.54805	210.62055
"61"	1615.260125	1560.1451875	1568.376625	1460.6138125	1877.3805625	1537.4696875	1744.7008125	1783.870125	1750.255125	1734.494625	1717.057125	1710.256625	1734.494625	1593.4043125	1750.255125	1699.6980625
"62"	104.80063125	105.50034125	133.12335625	114.4823975	134.16701875	114.572715625	111.0875225	139.5978375	130.4157625	130.7393875	121.931141875	92.695235625	112.323580625	108.38870375	113.409636875	130.58998125
"63"	5685.4160625	5756.0330625	6391.393875	6538.028	7370.49475	5934.8460625	5723.11475	6391.393875	6681.7630625	6606.6625	5883.3946875	5797.5693125	6263.88775	5083.38425	6497.0531875	6825.8791875
"64"	428.94070625	411.37489375	429.64116875	473.21193125	550.170525	496.62605	420.13791875	428.94070625	413.99046875	454.52866875	387.33343125	486.61764375	488.75139375	450.0908	454.91885625	526.26974375
"65"	185.5860375	160.99754375	164.647425	142.3083125	154.1909	146.8413625	147.9506625	158.2533125	128.58011875	138.4951125	153.1525375	140.0884	174.25045625	162.03883125	148.83425625	149.26526875
"66"	199.66670625	234.12394375	223.82470625	266.96698125	202.8729	219.97361875	232.1652625	289.14495	254.9150375	199.95458125	298.3647375	212.1001375	234.98815625	273.16239375	280.155925	226.10808125
"67"	103.49009375	102.179134375	101.593596875	100.154086875	102.53663625	104.286851875	91.8563475	107.627720625	104.80063125	97.64507875	143.230225	109.836023125	92.971525	110.79283875	95.75588375	88.3840525
"68"	191.6935875	183.52058125	220.4122625	201.294975	240.62743125	190.51745625	181.143425	230.61845625	259.0566875	242.5415125	241.3654625	224.81220625	183.699825	192.78555625	240.27358125	219.97361875
"69"	769.07034375	849.42820625	630.4187	849.42820625	538.51038125	726.893975	756.57296875	818.08005625	766.66510625	631.89014375	1098.891025	749.74669375	786.9979125	1038.21535625	875.59075625	578.311125
"70"	1005.37518125	972.7642625	727.94110625	972.7642625	672.41614375	944.49455625	988.6	980.79641875	1132.100225	724.802775	1185.516725	995.83595	988.6	1308.6395125	1221.75133125	1043.116175
"71"	495.1530375	464.2609625	474.9920375	486.61764375	471.8997	524.0634875	415.27388125	460.295675	534.145125	448.03929375	482.9323125	498.36223125	502.44759375	458.22325625	506.4096375	447.50156875
"72"	157.2922875	172.91635625	115.01405625	104.515758125	130.82501875	157.38825625	163.29834375	148.9598125	126.500725	126.7324375	141.5119875	123.5052125	144.50574375	140.62668125	145.05518125	159.5969875
"73"	1345.4761875	1357.25375	1470.9124375	1279.42508125	1467.4090625	1453.0538125	1324.2960375	1231.5098375	1288.08679375	1515.8055625	1183.11788125	1311.4607625	1314.82505625	1063.1577625	1318.9138	1453.0538125
"74"	140.16321875	148.83425625	126.6495625	164.82031875	142.51455625	139.9649625	117.870768125	115.115086875	146.9806	143.31814375	166.8430875	118.7287675	164.1510625	149.8372625	146.33685625	136.6961
"75"	126.39529375	130.2047625	140.9942875	185.85318125	146.8413625	119.22838125	119.959475	161.32546875	173.3957375	120.376193125	146.33685625	145.05518125	122.553198125	174.60439375	172.24905	120.5519925
"76"	7486.790625	7329.827375	7843.2245625	7729.2143125	7661.645375	7028.0494375	7198.6705625	7290.8823125	7529.33075	7843.2245625	8042.0515	7792.679625	7370.49475	7486.790625	7924.1129375	7370.49475
"77"	587.78065	590.96005625	669.0922625	606.1588125	634.80944375	648.70293125	526.26974375	652.42988125	662.3163125	602.6982	623.9671375	604.00640625	557.5725375	577.365125	669.0922625	517.2161375
"78"	297.44858125	300.46996875	327.49064375	321.8902125	358.84991875	341.56968125	279.32096875	303.24875	376.47808125	324.9284375	289.4823	337.42628125	318.623375	206.57538125	326.9747875	404.98795625
"79"	2289.146875	2432.77875	2503.6976875	2639.745875	2364.3996875	2524.0619375	2275.86225	2672.051125	2672.051125	2489.4255625	2514.2790625	2524.0619375	2303.1161875	2566.1953125	2496.0971875	2410.2695625
"80"	195.78506875	207.45458125	199.260875	236.7090375	249.29228125	258.7794	252.57100625	227.25635	211.24961875	219.61459375	231.0369375	235.44740625	237.3941	187.0800125	239.43008125	220.19465625
"81"	221.45915	187.69620625	185.07080625	182.6941	212.1001375	190.29216875	213.19968125	215.1605125	171.346875	198.686575	165.1254125	250.466225	159.925825	189.664025	147.23340625	182.2259875
"82"	7329.827375	7486.790625	7290.8823125	7028.0494375	7792.679625	7370.49475	7843.2245625	7979.2158125	7329.827375	8088.41675	7028.0494375	7329.827375	7486.790625	8088.41675	7529.33075	7529.33075
"83"	3638.6934375	3436.576875	3843.7041875	3706.611375	4362.648125	3575.6273125	3674.235625	3621.61025	3869.9581875	3733.871625	3299.3075	3319.4073125	3522.616125	3407.136	3762.6109375	3716.1529375
"84"	112.204845625	114.18022125	110.98619	117.5262975	104.612793125	103.230785	105.712345625	127.322	118.106844375	110.208703125	126.57411875	101.053881875	115.01405625	98.013243125	120.763840625	114.411083125
"85"	1422.7681875	1303.57636875	1336.87561875	1394.30638125	1577.442375	1363.01879375	1314.82505625	1553.5710625	1412.6302875	1511.7638125	1589.9538125	1443.8390625	1619.6649375	1557.3445	1659.4333125	1500.504875
"86"	193.365775	254.55285	213.19968125	229.518525	198.21379375	232.6081625	231.6461625	224.33979375	265.82519375	212.31129375	238.22593125	249.87685	252.9142375	264.8918625	227.25635	251.4112875
"87"	597.107875	557.5725375	569.45550625	479.35030625	791.11079375	537.44905	545.6480375	502.44759375	465.46449375	606.1588125	440.2643875	510.5725125	491.7531375	370.4178625	428.94070625	647.3801625
"88"	1314.82505625	1371.56401875	1298.69239375	1470.9124375	1301.07896875	1314.82505625	1445.8368125	1443.8390625	1357.25375	1211.4297125	1470.9124375	1394.30638125	1380.83918125	1231.5098375	1340.09936875	1221.75133125
"89"	4245.798	4058.8026875	4037.4653125	4362.648125	4812.626	4560.4765	4577.3760625	4341.0161875	4620.7429375	4400.12	4277.6758125	4467.3564375	4400.12	4259.0678125	4680.6015625	4577.3760625
"90"	234.12394375	218.134475	234.6405125	223.5327875	231.6461625	224.81220625	214.37998125	204.0986375	204.0986375	216.55481875	234.39170625	209.16621875	214.53501875	225.87296875	204.448525	225.87296875
"91"	185.3646375	188.945	199.95458125	179.37498125	219.97361875	167.32625	197.18503125	147.52181875	180.832675	198.21379375	177.4907	194.7282125	201.632875	177.18116875	170.46980625	196.48411875
"92"	289.14495	234.39170625	282.73643125	221.45915	317.67760625	285.5422625	315.7179375	238.61383125	217.65394375	268.8723875	248.9443875	258.03184375	273.8765125	226.28753125	215.1605125	279.32096875
"93"	1643.48725	1906.362375	1560.1451875	1553.5710625	1482.8556875	1750.255125	1955.004875	1793.0275	1901.6225	1835.7518125	1979.044875	1478.6666875	2034.4809375	2090.312875	1940.737125	1345.4761875
"94"	90.55540625	94.4918475	110.731096875	132.9590375	97.0583975	86.41144125	92.971525	105.92842	103.419868125	110.98619	87.564221875	111.430859375	98.582158125	97.800346875	123.77030625	96.579959375
"95"	280.8846375	306.18408125	336.33953125	367.44523125	293.38343125	304.36200625	291.603375	312.150475	346.830625	344.6287625	366.23786875	334.74030625	256.14561875	307.53738125	339.58349375	342.550875
"96"	221.88445625	249.87685	214.73926875	240.96233125	218.92528125	214.73926875	215.708425	204.76216875	238.9240375	226.6156875	214.93336875	221.2098375	211.24961875	211.24961875	208.60121875	195.5756375
"97"	264.48033125	253.38481875	275.267075	275.267075	239.77008125	270.69875	260.72263125	266.1359625	276.88428125	275.267075	271.695825	281.4028125	272.162725	278.5237875	298.3647375	299.3984125
"98"	141.101925	142.65056875	141.666075	148.1979875	160.35778125	138.99151875	214.73926875	155.289925	130.09720625	108.987100625	123.02696625	136.24515625	149.722725	99.498881875	120.837990625	152.62418125
"99"	636.17226875	509.67204375	783.3039125	788.424825	595.50645	722.08959375	554.03923125	720.26415	634.80944375	725.83200625	636.17226875	677.4629625	530.46701875	605.05245	706.28544375	655.04405
"100"	194.94613125	164.647425	140.53214375	118.67781875	200.49745625	202.70173125	208.3970125	138.024475	134.62704375	207.45458125	180.832675	173.94800625	284.6323125	152.254475	148.70446875	228.53795625
"101"	122.477829375	131.00221875	118.106844375	110.32955125	107.20053625	130.82501875	139.9649625	101.466775625	124.67936875	116.091845	133.837825	139.74660625	112.94686875	113.81241875	116.59035125	108.724434375
"102"	9610.337	9530.0704375	10146.736375	10535.5781875	9699.6695625	10061.847375	8857.786	10870.1630625	10146.736375	10535.5781875	10386.120375	10996.41625	11097.7715625	9881.2745625	10870.1630625	10996.41625
"103"	1137.42674375	1050.1631	1293.2516	1281.90871875	1114.2686	1199.15524375	1013.2962375	1377.5416375	1273.83985625	1145.4395625	1135.09235	1332.8420125	1084.3465125	1168.2496	1187.68459375	1181.2415
"104"	1408.6314875	1577.442375	1359.28981875	1257.99315	1408.6314875	1550.0055	1449.209125	1208.35105625	1311.4607625	1318.9138	1241.463	1439.0499375	1426.450125	1324.2960375	1143.6339875	1295.606725
